,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
107,"[9, 4, 4, 2]","[15, 22, 23, 23]","[10, 6, 1, 1]","[128, 128, 16]",0.0024823465484887066,"[0.16242916882038116, 0.16242916882038116]"
108,[2],[3],[3],"[64, 32]",0.004539330621329078,"[2.2126641273498535, 2.2126641273498535]"
109,"[10, 6, 5, 3, 2]","[3, 7, 10, 16, 22]","[10, 8, 6, 6, 4]","[128, 8]",0.06647901835950083,"[2.0670154094696045, 2.0670154094696045]"
110,"[5, 4, 2, 2]","[3, 3, 13, 23]","[7, 7, 6, 5]","[64, 32, 8]",0.07144049919636532,"[2.816995620727539, 2.816995620727539]"
111,"[10, 9]","[6, 23]","[10, 4]","[64, 32, 16]",5.6333665763534184e-05,"[1.6761770248413086, 1.6761770248413086]"
112,"[8, 6, 6, 2]","[1, 10, 11, 19]","[8, 6, 5, 4]","[4, 2]",1.2341568419155943e-05,"[2.077199697494507, 2.077199697494507]"
113,"[10, 8, 6, 6, 4]","[1, 4, 12, 21, 22]","[10, 9, 7, 5, 4]",[8],0.0005315112759934045,"[1.771318793296814, 1.771318793296814]"
114,"[8, 7, 6, 6, 1]","[1, 15, 22, 22, 24]","[10, 9, 8, 5, 2]","[128, 128, 4]",0.0019750445988829346,"[2.322427988052368, 2.322427988052368]"
115,"[10, 10, 9, 3, 1]","[3, 4, 8, 12, 20]","[4, 3, 2, 1, 1]","[64, 8, 4]",0.007299239868463465,"[0.22257240116596222, 0.22257240116596222]"
116,[4],[2],[4],[16],0.00013470668791464938,"[1.9731597900390625, 1.9731597900390625]"
117,[3],[14],[8],"[64, 32, 8]",0.0009389374938770461,"[0.21099364757537842, 0.21099364757537842]"
118,"[10, 10, 2, 1]","[6, 10, 19, 19]","[7, 7, 5, 4]","[4, 2]",0.004540617553245989,"[0.22158971428871155, 0.22158971428871155]"
119,[10],[3],[10],"[64, 32, 4]",0.07265903969501432,"[1.9479848146438599, 1.9479848146438599]"
120,[1],[5],[10],"[64, 32, 16]",1.5701211084097878e-05,"[29.00919532775879, 29.00919532775879]"
121,[5],[17],[3],"[64, 64, 4]",4.579786121063295e-05,"[1.9611725807189941, 1.9611725807189941]"
122,[10],[16],[3],[8],0.0543392817150555,"[1.9710454940795898, 1.9710454940795898]"
123,"[4, 3, 1]","[5, 15, 19]","[10, 10, 6]","[16, 4]",0.0002707382556755065,"[22.834327697753906, 22.834327697753906]"
124,"[8, 7]","[8, 24]","[3, 2]","[128, 8, 4]",0.0011421024745130663,"[0.20262670516967773, 0.20262670516967773]"
125,"[10, 9, 9, 8, 5]","[9, 9, 13, 18, 20]","[8, 8, 8, 6, 5]","[32, 2]",0.020790777290184918,"[1.9967695474624634, 1.9967695474624634]"
126,"[7, 7, 4]","[8, 13, 14]","[9, 5, 3]",[64],6.938705021642275e-05,"[2.0377447605133057, 2.0377447605133057]"
127,"[4, 3, 2, 2, 2]","[5, 12, 20, 22, 22]","[7, 5, 5, 3, 2]","[32, 32, 8]",0.00040852523467609157,"[0.21625760197639465, 0.21625760197639465]"
128,"[10, 9, 2, 2]","[4, 16, 23, 24]","[4, 4, 3, 1]",[64],0.07522097585576744,"[2.151413917541504, 2.151413917541504]"
129,[6],[7],[6],"[32, 8, 4]",0.01339018755473288,"[0.2276422530412674, 0.2276422530412674]"
130,"[9, 8, 5, 1]","[8, 19, 21, 22]","[9, 9, 4, 4]","[32, 16]",3.927653468938716e-05,"[2.2959723472595215, 2.2959723472595215]"
131,"[7, 6]","[4, 8]","[10, 6]",[128],0.0162441068666458,"[0.2018226981163025, 0.2018226981163025]"
132,"[10, 7, 1]","[9, 20, 22]","[10, 8, 8]","[32, 32]",0.01269943747469094,"[0.16701599955558777, 0.16701599955558777]"
133,"[10, 9, 8, 6, 3]","[4, 5, 7, 18, 21]","[8, 6, 5, 4, 1]","[128, 2, 2]",0.0005635928193668335,"[17.078203201293945, 17.078203201293945]"
134,[10],[15],[1],[128],1.632646685336919e-05,"[1.9920265674591064, 1.9920265674591064]"
135,"[8, 2]","[5, 19]","[10, 4]","[8, 4, 4]",6.131849510844632e-05,"[1.9126635789871216, 1.9126635789871216]"
136,"[7, 7]","[14, 21]","[3, 1]",[2],0.00562829071429026,"[1.9712982177734375, 1.9712982177734375]"
137,[8],[10],[3],"[4, 2]",3.64855310534179e-05,"[28.46332550048828, 28.46332550048828]"
138,"[8, 8]","[7, 9]","[4, 1]","[32, 32, 2]",0.003873300618144607,"[0.19254150986671448, 0.19254150986671448]"
139,"[10, 4, 4, 1]","[2, 3, 15, 20]","[4, 2, 1, 1]","[64, 64, 16]",0.001841148874481547,"[0.2129378616809845, 0.2129378616809845]"
140,"[9, 8, 5, 5]","[2, 11, 14, 22]","[8, 3, 3, 1]","[128, 4, 2]",0.00010686172339961285,"[26.671154022216797, 26.671154022216797]"
141,"[7, 7, 7, 6, 1]","[5, 6, 15, 19, 21]","[10, 10, 5, 4, 3]",[32],0.09151927526385695,"[1.857706069946289, 1.857706069946289]"
142,"[8, 3]","[15, 17]","[2, 1]","[32, 2]",0.0017705725110359223,"[4.916606426239014, 4.916606426239014]"
143,"[9, 7, 4, 4]","[2, 11, 11, 13]","[10, 9, 7, 5]",[4],4.320128144463487e-05,"[1.9787940979003906, 1.9787940979003906]"
144,"[9, 7, 4]","[12, 18, 23]","[7, 5, 1]",[128],5.4898195577698576e-05,"[1.848252773284912, 1.848252773284912]"
145,"[9, 7, 6]","[22, 24, 24]","[9, 7, 5]","[32, 4, 2]",0.007293244585383597,"[0.2010006606578827, 0.2010006606578827]"
146,[7],[16],[3],"[32, 16, 2]",0.04260804164878899,"[1.9827353954315186, 1.9827353954315186]"
147,"[10, 8, 8, 2, 2]","[6, 9, 15, 21, 24]","[9, 7, 7, 3, 1]","[128, 16]",2.6569754665895722e-05,"[2.007192373275757, 2.007192373275757]"
148,"[9, 5, 4, 2]","[8, 12, 14, 23]","[6, 6, 5, 4]","[64, 4, 2]",0.002784648157978467,"[1.97785222530365, 1.97785222530365]"
149,"[10, 9, 5, 1]","[4, 5, 9, 21]","[8, 6, 5, 1]","[64, 64]",0.008161165325687874,"[1.1647717952728271, 1.1647717952728271]"
150,"[5, 5, 2]","[4, 8, 20]","[9, 8, 5]",[2],0.054532710402892794,"[2.086437702178955, 2.086437702178955]"
151,[9],[18],[1],"[32, 8]",0.045850453640092444,"[1.9124525785446167, 1.9124525785446167]"
152,"[10, 2, 2, 1]","[9, 14, 24, 24]","[10, 9, 6, 3]","[64, 8]",0.004392881280605687,"[0.18096882104873657, 0.18096882104873657]"
153,"[9, 6, 4]","[3, 13, 15]","[6, 5, 1]",[32],0.011629137326872985,"[0.24329960346221924, 0.24329960346221924]"
154,"[5, 4, 1]","[15, 15, 21]","[10, 7, 4]",[64],0.0015580500077943572,"[0.18513764441013336, 0.18513764441013336]"
155,"[5, 1]","[14, 24]","[3, 1]","[64, 2]",0.004021198107189698,"[0.1962057501077652, 0.1962057501077652]"
156,[5],[6],[2],[4],0.038508632251050265,"[2.011812686920166, 2.011812686920166]"
157,"[4, 1]","[17, 22]","[9, 3]","[128, 4, 2]",0.023178664543073307,"[1.9771116971969604, 1.9771116971969604]"
158,[8],[23],[9],"[64, 64, 8]",0.00014700588723779554,"[1.6262515783309937, 1.6262515783309937]"
159,[3],[4],[3],[64],0.0002633965204810548,"[0.8452490568161011, 0.8452490568161011]"
160,"[6, 5]","[2, 2]","[10, 6]","[64, 16, 8]",6.12049560530024e-05,"[2.0977230072021484, 2.0977230072021484]"
161,"[6, 5, 5, 1]","[8, 9, 15, 18]","[7, 7, 3, 3]","[16, 16]",0.00041040539726851715,"[0.22540202736854553, 0.22540202736854553]"
162,"[8, 8, 3]","[1, 12, 19]","[5, 4, 2]","[32, 8, 2]",0.06453971500088175,"[1.9451550245285034, 1.9451550245285034]"
163,[3],[1],[3],"[128, 32, 4]",0.0010202583215921635,"[0.23948714137077332, 0.23948714137077332]"
164,"[8, 5, 4, 4]","[6, 6, 24, 24]","[10, 7, 6, 2]","[16, 8, 4]",0.0002777695525399213,"[2.028925895690918, 2.028925895690918]"
165,[9],[20],[10],"[64, 16, 2]",0.008225055724167147,"[0.18183773756027222, 0.18183773756027222]"
166,"[10, 4]","[4, 14]","[10, 7]","[8, 8]",0.0017114805313206208,"[0.17537057399749756, 0.17537057399749756]"
167,"[5, 1]","[5, 12]","[7, 2]","[4, 4]",0.004108346455750467,"[0.20530100166797638, 0.20530100166797638]"
168,[10],[23],[2],[2],0.0018525656851116209,"[0.17024442553520203, 0.17024442553520203]"
169,[4],[21],[6],[4],0.0982391942695533,"[2.20676851272583, 2.20676851272583]"
170,"[8, 2, 2, 1]","[1, 11, 13, 23]","[6, 5, 4, 2]","[64, 2]",0.0028639176183747382,"[0.19313742220401764, 0.19313742220401764]"
171,[8],[5],[9],[16],2.6869410463626697e-05,"[2.0550081729888916, 2.0550081729888916]"
172,"[4, 2]","[17, 23]","[7, 4]",[8],0.00012765387996010227,"[1.885483980178833, 1.885483980178833]"
173,"[10, 5, 2, 2]","[4, 12, 13, 17]","[8, 6, 5, 1]","[128, 128, 16]",2.9762996889550405e-05,"[1.9994585514068604, 1.9994585514068604]"
174,"[8, 1]","[8, 8]","[9, 4]",[32],0.00816897799133578,"[0.21263472735881805, 0.21263472735881805]"
175,"[6, 4, 1]","[1, 14, 17]","[8, 5, 2]","[64, 16, 16]",4.229336892779095e-05,"[2.0320322513580322, 2.0320322513580322]"
176,"[8, 1, 1]","[11, 13, 16]","[9, 8, 1]","[64, 16, 4]",0.03426506633841967,"[1.9421111345291138, 1.9421111345291138]"
177,"[9, 3, 2]","[9, 13, 18]","[5, 4, 1]","[128, 64, 4]",0.01860413323062657,"[1.9703446626663208, 1.9703446626663208]"
178,"[3, 2]","[4, 5]","[3, 1]","[64, 16]",0.026697185037158934,"[0.2821443974971771, 0.2821443974971771]"
179,[2],[22],[5],[128],3.153153403711892e-05,"[2.1423208713531494, 2.1423208713531494]"
180,"[7, 6]","[21, 21]","[6, 2]",[16],0.00010834823864531393,"[1.8005465269088745, 1.8005465269088745]"
181,"[10, 1]","[16, 23]","[9, 9]","[16, 2]",0.016439783429596542,"[1.4859580993652344, 1.4859580993652344]"
182,"[10, 5, 1]","[5, 14, 22]","[4, 2, 1]","[32, 8]",0.0003800030822696116,"[0.22038467228412628, 0.22038467228412628]"
183,[6],[16],[6],[64],0.015091247586113734,"[0.33248910307884216, 0.33248910307884216]"
184,"[9, 9, 6, 5, 4]","[13, 15, 17, 23, 23]","[10, 9, 8, 2, 1]","[8, 4]",1.1869235489579872e-05,"[1.9855129718780518, 1.9855129718780518]"
185,"[10, 9, 9, 2]","[2, 4, 11, 20]","[10, 7, 5, 4]",[16],0.0063105007849532675,"[0.20886015892028809, 0.20886015892028809]"
186,"[10, 10, 8, 6, 4]","[9, 11, 11, 19, 23]","[7, 7, 6, 4, 4]","[32, 4]",3.8926182957213974e-05,"[1.9653301239013672, 1.9653301239013672]"
187,"[10, 9, 3, 2, 1]","[3, 15, 15, 20, 21]","[10, 8, 7, 6, 4]","[32, 32, 4]",5.04415575375035e-05,"[2.1814756393432617, 2.1814756393432617]"
188,"[4, 1]","[1, 16]","[6, 4]",[4],0.001741451994568793,"[1.8819290399551392, 1.8819290399551392]"
189,"[10, 2]","[13, 22]","[9, 8]","[32, 4]",0.006620631646782878,"[0.17930905520915985, 0.17930905520915985]"
190,"[7, 4, 3, 2]","[3, 9, 11, 18]","[10, 10, 8, 8]",[64],0.0007004909203758706,"[0.19079187512397766, 0.19079187512397766]"
191,[7],[11],[6],"[64, 4, 2]",0.00013402261900763389,"[26.005491256713867, 26.005491256713867]"
192,"[5, 4, 3, 2]","[3, 15, 22, 22]","[7, 6, 5, 4]",[64],0.08652251691549308,"[1.5601476430892944, 1.5601476430892944]"
193,"[10, 8, 6, 4, 3]","[5, 8, 14, 18, 24]","[10, 8, 6, 4, 4]","[128, 128, 32]",0.00023921324360927124,"[0.20478779077529907, 0.20478779077529907]"
194,"[7, 6, 5, 5]","[9, 15, 17, 19]","[10, 5, 2, 1]",[8],1.664788121385818e-05,"[2.048987627029419, 2.048987627029419]"
195,[5],[6],[2],"[128, 16, 4]",0.008789620821651353,"[0.19927099347114563, 0.19927099347114563]"
196,"[10, 2, 1]","[12, 21, 23]","[10, 4, 1]","[8, 2, 2]",1.1099452064355357e-05,"[29.131322860717773, 29.131322860717773]"
