,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
105,[10],[13],[7],[128],1.894658161300561e-05,"[0.985285758972168, 0.985285758972168]"
106,"[6, 5]","[19, 24]","[10, 1]","[16, 4]",0.0001606194438209343,"[0.9948318600654602, 0.9948318600654602]"
107,"[9, 5, 2]","[2, 13, 16]","[10, 7, 3]",[64],0.00017613838743593435,"[0.9701638221740723, 0.9701638221740723]"
108,[2],[1],[4],"[128, 32, 4]",0.0002181594922269014,"[0.9873600602149963, 0.9873600602149963]"
109,"[9, 9, 5, 3, 3]","[9, 10, 14, 21, 23]","[9, 6, 5, 3, 3]","[32, 4, 2]",0.05450367325078059,"[1.0123356580734253, 1.0123356580734253]"
110,"[10, 7, 5]","[8, 9, 18]","[6, 5, 3]",[2],0.000567334260354707,"[0.9582387804985046, 0.9582387804985046]"
111,"[9, 8, 7, 6, 4]","[5, 7, 11, 12, 23]","[10, 5, 5, 4, 3]","[4, 2, 2]",0.029291431963824624,"[0.9377648234367371, 0.9377648234367371]"
112,"[8, 7, 5, 4]","[14, 15, 17, 20]","[9, 6, 4, 2]","[32, 4, 2]",0.007771493239044983,"[0.8921933174133301, 0.8921933174133301]"
113,"[3, 1]","[6, 22]","[9, 6]",[128],1.552532143086518e-05,"[0.9876261949539185, 0.9876261949539185]"
114,"[10, 8, 3, 3]","[2, 7, 10, 24]","[6, 4, 4, 3]","[32, 8]",0.00034830851882903906,"[0.9652761816978455, 0.9652761816978455]"
115,"[10, 7, 6, 5, 5]","[2, 18, 19, 22, 24]","[10, 8, 6, 3, 2]","[64, 64, 8]",6.737373290003917e-05,"[0.980927586555481, 0.980927586555481]"
116,[9],[24],[3],"[128, 64]",1.3066697694324348e-05,"[28.190549850463867, 28.190549850463867]"
117,"[9, 8, 4, 2, 1]","[5, 10, 15, 16, 19]","[9, 7, 5, 3, 3]","[128, 4]",0.057111211529290606,"[0.8670651912689209, 0.8670651912689209]"
118,"[10, 3, 2, 1]","[3, 8, 13, 14]","[9, 8, 4, 2]","[128, 32, 8]",0.0012526643809871573,"[0.8923548460006714, 0.8923548460006714]"
119,[4],[22],[8],[32],0.015440426204343749,"[0.15841077268123627, 0.15841077268123627]"
120,[2],[2],[3],[128],0.00013684616319923007,"[0.9718560576438904, 0.9718560576438904]"
121,[2],[23],[8],"[2, 2]",0.014358724757749446,"[0.3598591983318329, 0.3598591983318329]"
